😀	grinning face happy
🦄	unicorn
🦓	zebra
🦌	deer
🐮	cow face
🐂	ox
🐃	water buffalo
🐄	cow cow2
🐷	pig face
🐖	pig pig2
🐗	boar
🐽	pig nose
🐏	ram
🐑	ewe sheep
🐐	goat
🐪	camel camel2
🐫	two-hump camel
🦙	llama
🦒	giraffe
🐘	elephant
🦏	rhinoceros
🦛	hippopotamus
🐭	mouse face
🐁	mouse mouse2
🐀	rat
🐹	hamster
🐰	rabbit face
🐇	rabbit rabbit2
🐿	chipmunk
🦔	hedgehog
🦇	bat
🐻	bear
🐨	koala
🐼	panda
🦥	sloth
🦦	otter
🦨	skunk
🦘	kangaroo
🦡	badger
🐾	paw prints feet
🦃	turkey
🐔	chicken
🐓	rooster
🐣	hatching chick
🐤	baby chick
🐥	front-facing baby chick hatched
🐦	bird
🐧	penguin
🕊	dove peace
🦅	eagle
🦆	duck
🦢	swan
🦉	owl
🦩	flamingo
🦚	peacock
🦜	parrot
🐸	frog
🐊	crocodile
🐢	turtle
🦎	lizard
🐍	snake
🐲	dragon face dragon2
🐉	dragon
🦕	sauropod
🦖	T-Rex
🐳	spouting whale
🐋	whale whale2
🐬	dolphin flipper
🐟	fish
🐠	tropical fish
🐡	blowfish
🦈	shark
🐙	octopus
🐚	spiral shell
🐌	snail
🦋	butterfly
🐛	bug
🐜	ant
🐝	honeybee bee
🐞	lady beetle
🦗	cricket
🕷	spider
🕸	spider web
🦂	scorpion
🦟	mosquito
🦠	microbe
💐	bouquet
🌸	cherry blossom
💮	white flower
🏵	rosette
🌹	rose
🥀	wilted flower
🌺	hibiscus
🌻	sunflower
🌼	blossom
🌷	tulip
🌱	seedling
🌲	evergreen tree evergreen: (tree)
🌳	deciduous tree deciduous: (tree)
🌴	palm tree
🌵	cactus
🌾	sheaf of rice ear
🌿	herb
☘	shamrock
🍀	four leaf clover
🍁	maple leaf
🍂	fallen leaf
🍃	leaf fluttering in wind leaves
🍇	grapes
🍈	melon
🍉	watermelon
🍊	tangerine
🍋	lemon
🍌	banana
🍍	pineapple
🥭	mango
🍎	red apple
🍏	green apple
🍐	pear
🍑	peach
🍒	cherries
🍓	strawberry
🥝	kiwi fruit
🍅	tomato
🥥	coconut
🥑	avocado
🍆	eggplant
🥔	potato
🥕	carrot
🌽	ear of corn
🌶	hot pepper
🥒	cucumber
🥬	leafy green
🥦	broccoli
🧄	garlic
🧅	onion
🍄	mushroom
🥜	peanuts
🌰	chestnut
🍞	bread
🥐	croissant
🥖	baguette bread
🥨	pretzel
🥯	bagel
🥞	pancakes
🧇	waffle
🧀	cheese wedge
🍖	meat on bone
🍗	poultry leg chicken
🥩	cut of meat
🥓	bacon
🍔	hamburger
🍟	french fries
🍕	pizza
🌭	hot dog hotdog
🥪	sandwich
🌮	taco
🌯	burrito
🥙	stuffed flatbread
🧆	falafel
🥚	egg
🍳	cooking egg
🥘	shallow pan of food
🍲	pot of food stew
🥣	bowl with spoon
🥗	green salad
🍿	popcorn
🧈	butter
🧂	salt
🥫	canned food
🍱	bento box
🍘	rice cracker
🍙	rice ball
🍚	cooked rice
🍛	curry rice
🍜	steaming bowl ramen
🍝	spaghetti
🍠	roasted sweet potato
🍢	oden
🍣	sushi
🍤	fried shrimp
🍥	fish cake with swirl
🥮	moon cake
🍡	dango
🥟	dumpling
🥠	fortune cookie
🥡	takeout box
🦀	crab
🦞	lobster
🦐	shrimp
🦑	squid
🦪	oyster
🍦	soft ice cream icecream
🍧	shaved ice
🍨	ice cream icecream2
🍩	doughnut donut
🍪	cookie
🎂	birthday cake
🍰	shortcake cake
🧁	cupcake
🥧	pie
🍫	chocolate bar
🍬	candy
🍭	lollipop
🍮	custard
🍯	honey pot
🍼	baby bottle
🥛	glass of milk
☕	hot beverage coffee
🍵	teacup without handle tea
🍶	sake
🍾	bottle with popping cork champagne
🍷	wine glass
🍸	cocktail glass
🍹	tropical drink
🍺	beer mug
🍻	clinking beer mugs beers
🥂	clinking glasses
🥃	tumbler glass
🥤	cup with straw
🧃	beverage box
🧉	mate
🧊	ice
🥢	chopsticks
🍽	fork and knife with plate
🍴	fork and knife cutlery
🥄	spoon
🔪	kitchen knife hocho
🏺	amphora
🌍	globe showing Europe-Africa earth africa
🌎	globe showing Americas earth americas
🌏	globe showing Asia-Australia earth asia
🌐	globe with meridians
🗺	world map
🗾	map of Japan japan
🧭	compass
🏔	snow-capped mountain snow
⛰	mountain
🌋	volcano
🗻	mount fuji
🏕	camping
🏖	beach with umbrella
🏜	desert
🏝	desert island
🏞	national park
🏟	stadium
🏛	classical building
🏗	building construction
🧱	brick
🏘	houses house buildings
🏚	derelict house
🏠	house
🏡	house with garden
🏢	office building
🏣	Japanese post office
🏤	post office european
🏥	hospital
🏦	bank
🏨	hotel
🏩	love hotel
🏪	convenience store
🏫	school
🏬	department store
🏭	factory
🏯	Japanese castle japanese
🏰	castle european
💒	wedding
🗼	Tokyo tower tokyo
🗽	Statue of Liberty statue liberty
⛪	church
🕌	mosque
🛕	hindu temple
🕍	synagogue
⛩	shinto shrine
🕋	kaaba
⛲	fountain
⛺	tent
🌁	foggy
🌃	night with stars starry
🏙	cityscape
🌄	sunrise over mountains mountain
🌅	sunrise
🌆	cityscape at dusk city sunset
🌇	sunset city sunrise
🌉	bridge at night
♨	hot springs hotsprings
🎠	carousel horse
🎡	ferris wheel
🎢	roller coaster
💈	barber pole
🎪	circus tent
🚂	locomotive
🚃	railway car
🚄	high-speed train bullettrain side
🚅	bullet train bullettrain front
🚆	train train2
🚇	metro
🚈	light rail
🚉	station
🚊	tram
🚝	monorail
🚞	mountain railway
🚋	tram car train
🚌	bus
🚍	oncoming bus bus2
🚎	trolleybus trolley bus
🚐	minibus
🚑	ambulance
🚒	fire engine truck
🚓	police car
🚔	oncoming police car police2
🚕	taxi
🚖	oncoming taxi taxi2
🚗	automobile car red
🚘	oncoming automobile car2
🚙	sport utility vehicle blue car
🚚	delivery truck
🚛	articulated lorry
🚜	tractor
🏎	racing car racecar
🏍	motorcycle
🛵	motor scooter
🦽	manual wheelchair
🦼	motorized wheelchair
🛺	auto rickshaw
🚲	bicycle bike
🛴	kick scooter
🛹	skateboard
🚏	bus stop
🛣	motorway
🛤	railway track
🛢	oil drum
⛽	fuel pump fuelpump
🚨	police car light rotating
🚥	horizontal traffic light
🚦	vertical traffic light
🛑	stop sign
🚧	construction
⚓	anchor
⛵	sailboat boat
🛶	canoe
🚤	speedboat
🛳	passenger ship
⛴	ferry
🛥	motor boat
🚢	ship
✈	airplane plane
🛩	small airplane plane
🛫	airplane departure plane
🛬	airplane arrival plane arriving
🪂	parachute
💺	seat
🚁	helicopter
🚟	suspension railway
🚠	mountain cableway
🚡	aerial tramway
🛰	satellite
🚀	rocket
🛸	flying saucer
🛎	bellhop bell
🧳	luggage
⌛	hourglass done
⏳	hourglass not done sand
⌚	watch
⏰	alarm clock
⏱	stopwatch
⏲	timer clock
🕰	mantelpiece clock
🕛	twelve o’clock clock12
🕧	twelve-thirty clock1230
🕐	one o’clock clock1
🕜	one-thirty clock130
🕑	two o’clock clock2
🕝	two-thirty clock230
🕒	three o’clock clock3
🕞	three-thirty clock330
🕓	four o’clock clock4
🕟	four-thirty clock430
🕔	five o’clock clock5
🕠	five-thirty clock530
🕕	six o’clock clock6
🕡	six-thirty clock630
🕖	seven o’clock clock7
🕢	seven-thirty clock730
🕗	eight o’clock clock8
🕣	eight-thirty clock830
🕘	nine o’clock clock9
🕤	nine-thirty clock930
🕙	ten o’clock clock10
🕥	ten-thirty clock1030
🕚	eleven o’clock clock11
🕦	eleven-thirty clock1130
🌑	new moon moon1
🌒	waxing crescent moon moon2
🌓	first quarter moon moon3
🌔	waxing gibbous moon moon4
🌕	full moon moon5
🌖	waning gibbous moon moon6
🌗	last quarter moon moon7
🌘	waning crescent moon moon8
🌙	crescent moon
🌚	new moon face
🌛	first quarter moon face face2
🌜	last quarter moon face face3
🌡	thermometer
☀	sun sunny
🌝	full moon face
🌞	sun with face
🪐	ringed planet
⭐	star
🌟	glowing star star2
🌠	shooting star stars
🌌	milky way
☁	cloud
⛅	sun behind cloud partly sunny
⛈	cloud with lightning and rain thunder
🌤	sun behind small cloud mostly sunny
🌥	sun behind large cloud barely sunny
🌦	sun behind rain cloud partly sunny
🌧	cloud with rain
🌨	cloud with snow
🌩	cloud with lightning
🌪	tornado cloud
🌫	fog
🌬	wind face blowing
🌀	cyclone
🌈	rainbow
🌂	closed umbrella
☂	umbrella
☔	umbrella with rain drops
⛱	umbrella on ground beach
⚡	high voltage zap
❄	snowflake
☃	snowman snowman2
⛄	snowman without snow
☄	comet
🔥	fire
💧	droplet
🌊	water wave ocean
🎃	jack-o-lantern jack o lantern halloween
🎄	Christmas tree christmas
🎆	fireworks
🎇	sparkler
🧨	firecracker
✨	sparkles sparkle
🎈	balloon
🎉	party popper tada
🎊	confetti ball
🎋	tanabata tree
🎍	pine decoration bamboo
🎎	Japanese dolls
🎏	carp streamer flags
🎐	wind chime
🎑	moon viewing ceremony rice scene
🧧	red envelope
🎀	ribbon
🎁	wrapped gift
🎗	reminder ribbon
🎟	admission tickets
🎫	ticket
🎖	military medal
🏆	trophy
🏅	sports medal gold
🥇	1st place medal
🥈	2nd place medal
🥉	3rd place medal
⚽	soccer ball
⚾	baseball
🥎	softball
🏀	basketball
🏐	volleyball
🏈	american football
🏉	rugby football
🎾	tennis
🥏	flying disc
🎳	bowling
🏏	cricket game
🏑	field hockey
🏒	ice hockey
🥍	lacrosse
🏓	ping pong table tennis
🏸	badminton
🥊	boxing glove
🥋	martial arts uniform
🥅	goal net
⛳	flag in hole golf
⛸	ice skate
🎣	fishing pole
🤿	diving mask
🎽	running shirt
🎿	skis ski
🛷	sled
🥌	curling stone
🎯	direct hit dart
🪀	yo-yo
🪁	kite
🎱	pool 8 ball 8ball
🔮	crystal ball
🧿	nazar amulet
🎮	video game
🕹	joystick
🎰	slot machine
🎲	game die dice
🧩	puzzle piece
🧸	teddy bear
♠	spade suit spades
♥	heart suit hearts
♦	diamond suit diamonds
♣	club suit clubs
♟	chess pawn
🃏	joker
🀄	mahjong red dragon
🎴	flower playing cards
🎭	performing arts
🖼	framed picture frame with
🎨	artist palette art
🧵	thread
🧶	yarn
👓	glasses eyeglasses
🕶	sunglasses sunglasses2
🥽	goggles
🥼	lab coat
🦺	safety vest
👔	necktie
👕	t-shirt tshirt shirt
👖	jeans
🧣	scarf
🧤	gloves
🧥	coat
🧦	socks
👗	dress
👘	kimono
🥻	sari
🩱	one-piece swimsuit
🩲	briefs
🩳	shorts
👙	bikini
👚	woman’s clothes womans
👛	purse
👜	handbag
👝	clutch bag pouch
🛍	shopping bags
🎒	backpack satchel
👞	man’s shoe mans
👟	running shoe athletic
🥾	hiking boot
🥿	flat shoe
👠	high-heeled shoe high heel
👡	woman’s sandal
🩰	ballet shoes
👢	woman’s boot
👑	crown
👒	woman’s hat womans
🎩	top hat tophat
🎓	graduation cap
🧢	billed cap
⛑	rescue worker’s helmet with white cross
📿	prayer beads
💄	lipstick
💍	ring
💎	gem stone
🔇	muted speaker mute
🔈	speaker low volume
🔉	speaker medium volume sound
🔊	speaker high volume loud sound
📢	loudspeaker
📣	megaphone mega
📯	postal horn
🔔	bell
🔕	bell with slash no
🎼	musical score
🎵	musical note
🎶	musical notes
🎙	studio microphone microphone2
🎚	level slider
🎛	control knobs
🎤	microphone
🎧	headphone headphones
📻	radio
🎷	saxophone
🎸	guitar
🎹	musical keyboard piano
🎺	trumpet
🎻	violin
🪕	banjo
🥁	drum
📱	mobile phone iphone
📲	mobile phone with arrow calling
☎	telephone
📞	telephone receiver phone
📟	pager
📠	fax machine
🔋	battery
🔌	electric plug
💻	laptop computer
🖥	desktop computer monitor
🖨	printer
⌨	keyboard
🖱	computer mouse
🖲	trackball
💽	computer disk minidisc
💾	floppy disk
💿	optical disk cd
📀	dvd
🧮	abacus
🎥	movie camera
🎞	film frames
📽	film projector
🎬	clapper board
📺	television tv
📷	camera
📸	camera with flash
📹	video camera
📼	videocassette vhs
🔍	magnifying glass tilted left mag
🔎	magnifying glass tilted right mag2
🕯	candle
💡	light bulb
🔦	flashlight
🏮	red paper lantern izakaya
🪔	diya lamp
📔	notebook with decorative cover notebook2
📕	closed book
📖	open book
📗	green book
📘	blue book
📙	orange book
📚	books
📓	notebook
📒	ledger
📃	page with curl
📜	scroll
📄	page facing up
📰	newspaper
🗞	rolled-up newspaper rolled up
📑	bookmark tabs
🔖	bookmark
🏷	label
💰	money bag moneybag
💴	yen banknote
💵	dollar banknote
💶	euro banknote
💷	pound banknote
💸	money with wings
💳	credit card
🧾	receipt
💹	chart increasing with yen
✉	envelope mail
📧	e-mail email
📨	incoming envelope
📩	envelope with arrow
📤	outbox tray
📥	inbox tray
📦	package
📫	closed mailbox with raised flag
📪	closed mailbox with lowered flag
📬	open mailbox with raised flag mail
📭	open mailbox with lowered flag no mail
📮	postbox
🗳	ballot box with ballot
✏	pencil pencil2
✒	black nib
🖋	fountain pen
🖊	pen ballpoint
🖌	paintbrush
🖍	crayon
📝	memo pencil
💼	briefcase
📁	file folder
📂	open file folder
🗂	card index dividers
📅	calendar date
📆	tear-off calendar
🗒	spiral notepad note pad
🗓	spiral calendar pad
📇	card index
📈	chart increasing trending up
📉	chart decreasing trending down
📊	bar chart
📋	clipboard
📌	pushpin
📍	round pushpin
📎	paperclip
🖇	linked paperclips
📏	straight ruler
📐	triangular ruler triangle
✂	scissors
🗃	card file box
🗄	file cabinet
🗑	wastebasket
🔒	locked lock
🔓	unlocked unlock
🔏	locked with pen lock
🔐	locked with key lock
🔑	key
🗝	old key
🔨	hammer
🪓	axe
⛏	pick
⚒	hammer and pick
🛠	hammer and wrench
🗡	dagger
⚔	crossed swords
🔫	pistol gun
🏹	bow and arrow
🛡	shield
🔧	wrench
🔩	nut and bolt
⚙	gear
🗜	clamp compression
⚖	balance scale scales
🦯	white cane
🔗	link
⛓	chains
🧰	toolbox
🧲	magnet
⚗	alembic
🧪	test tube
🧫	petri dish
🧬	dna
🔬	microscope
🔭	telescope
📡	satellite antenna
💉	syringe
🩸	drop of blood
💊	pill
🩹	adhesive bandage
🩺	stethoscope
🚪	door
🛏	bed
🛋	couch and lamp
🪑	chair
🚽	toilet
🚿	shower
🛁	bathtub
🪒	razor
🧴	lotion bottle
🧷	safety pin
🧹	broom
🧺	basket
🧻	roll of paper
🧼	soap
🧽	sponge
🧯	fire extinguisher
🛒	shopping cart
🚬	cigarette smoking
⚰	coffin
⚱	funeral urn
🗿	moai moyai
🏧	ATM sign atm
🚮	litter in bin sign put its place
🚰	potable water
♿	wheelchair symbol
🚹	men’s room mens
🚺	women’s room womens
🚻	restroom
🚼	baby symbol
🚾	water closet wc
🛂	passport control
🛃	customs
🛄	baggage claim
🛅	left luggage
⚠	warning
🚸	children crossing
⛔	no entry
🚫	prohibited no entry sign
🚳	no bicycles
🚭	no smoking
🚯	no littering do not litter
🚱	non-potable water non potable
🚷	no pedestrians
📵	no mobile phones
🔞	no one under eighteen underage
☢	radioactive
☣	biohazard
↑	up arrow
↗	up-right arrow upper right
→	right arrow
↘	down-right arrow lower right
↓	down arrow
↙	down-left arrow lower left
←	left arrow
↖	up-left arrow upper left
↕	up-down arrow up down
↔	left-right arrow left right
↩	right arrow curving left hook
↪	left arrow curving right hook
⤴	right arrow curving up heading
⤵	right arrow curving down heading
🔃	clockwise vertical arrows
🔄	counterclockwise arrows button
🔙	BACK arrow back
🔚	END arrow end
🔛	ON! arrow on
🔜	SOON arrow soon
🔝	TOP arrow top
🛐	place of worship
⚛	atom symbol
🕉	om symbol
✡	star of David david
☸	wheel of dharma
☯	yin yang
✝	latin cross
☦	orthodox cross
☪	star and crescent
☮	peace symbol
🕎	menorah
🔯	dotted six-pointed star six pointed
♈	Aries aries
♉	Taurus taurus
♊	Gemini gemini
♋	Cancer cancer
♌	Leo leo
♍	Virgo virgo
♎	Libra libra
♏	Scorpio scorpius
♐	Sagittarius sagittarius
♑	Capricorn capricorn
♒	Aquarius aquarius
♓	Pisces pisces
⛎	Ophiuchus ophiuchus
🔀	shuffle tracks button twisted rightwards arrows
🔁	repeat button
🔂	repeat single button one
▶	play button arrow forward
⏩	fast-forward button fast forward
⏭	next track button extra fast forward
⏯	play or pause button
◀	reverse button arrow backward
⏪	fast reverse button rewind
⏮	last track button extra rewind
🔼	upwards button arrow up small
⏫	fast up button arrow double
🔽	downwards button arrow down small
⏬	fast down button arrow double
⏸	pause button
⏹	stop button
⏺	record button
⏏	eject button
🎦	cinema
🔅	dim button low brightness
🔆	bright button high brightness
📶	antenna bars signal
📳	vibration mode vibrate
📴	mobile phone off
♀	female sign
♂	male sign
✖	multiply sign
➕	plus sign
➖	minus sign
➗	divide division sign
♾	infinity
‼	double exclamation mark bangbang
⁉	exclamation question mark interrobang
❓	question mark
❔	white question mark grey
❕	white exclamation mark grey
❗	exclamation mark heavy bang
〰	wavy dash
💱	currency exchange
💲	heavy dollar sign
⚕	medical symbol
♻	recycling symbol recycle
⚜	fleur-de-lis fleur de lis
🔱	trident emblem
📛	name badge
🔰	Japanese symbol for beginner
⭕	hollow red circle o
✅	check mark button checkmark tick
☑	check box with check tick
✔	check mark checkmark2 tick
❌	cross mark x
❎	cross mark button x2
➰	curly loop
➿	double curly loop
〽	part alternation mark
✳	eight-spoked asterisk eight spoked
✴	eight-pointed star eight pointed black
❇	sparkle sparkle2
©	copyright
®	registered
™	trade mark tm
#️⃣	keycap: #
*️⃣	keycap: *
0️⃣	keycap: 0
1️⃣	keycap: 1
2️⃣	keycap: 2
3️⃣	keycap: 3
4️⃣	keycap: 4
5️⃣	keycap: 5
6️⃣	keycap: 6
7️⃣	keycap: 7
8️⃣	keycap: 8
9️⃣	keycap: 9
🔟	keycap: 10 keycap ten
🔠	input latin uppercase ABCD
🔡	input latin lowercase abcd
🔢	input numbers 1234
🔣	input symbols
🔤	input latin letters abc
🅰	A button (blood type) a
🆎	AB button (blood type) ab
🅱	B button (blood type) b
🆑	CL button cl
🆒	COOL button cool
🆓	FREE button free
ℹ	information
🆔	ID button id
Ⓜ	circled M m
🆕	NEW button new
🆖	NG button ng
🅾	O button (blood type) o2
🆗	OK button ok2
🅿	P button parking
🆘	SOS button sos
🆙	UP! button up
🆚	VS button vs
🔴	red circle
🟠	orange circle
🟡	yellow circle
🟢	green circle
🔵	blue circle large
🟣	purple circle
🟤	brown circle
⚫	black circle
⚪	white circle
🟥	red square
🟧	orange square
🟨	yellow square
🟩	green square
🟦	blue square
🟪	purple square
🟫	brown square
⬛	black large square
⬜	white large square
◼	black medium square
◻	white medium square
◾	black medium-small square medium small
◽	white medium-small square medium small
▪	black small square
▫	white small square
🔶	large orange diamond
🔷	large blue diamond
🔸	small orange diamond
🔹	small blue diamond
🔺	red triangle pointed up small
🔻	red triangle pointed down small
💠	diamond with a dot shape
🔘	radio button
🔳	white square button
🔲	black square button
🏁	chequered flag checkered
🚩	triangular flag flagpost
🎌	crossed flags
🏴	black flag waving
🏳	white flag waving
€	euro
¯\_(ツ)_/¯	shrug
(╯°□°）╯︵ ┻━┻	table flip
┬──┬◡ﾉ(° -°ﾉ)	table fix
٩(^ᴗ^)۶	excited
（＾_＾）	happy
(◕‿◕)	happy
(•‿•)	happy
ಠ_ಠ	whatever angry sad stare
ᵒ̀د̥ᵒ́	face
¼	quarter 1/4
½	half 1/2
¾	three quarters 3/4
⅓	third 1/3
⅔	two thirds 2/3
